"ID","Gemeinde_de","Text_de","Staerkste_Partei"
66,"Opfikon ZH","In Opfikon behält  Grüne ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 34,9 Prozent gesichert (-5 Prozentpunkte).<br><br>Die <b>Grünen</b> steigern sich mit einem Plus von +7,5 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil d beträgt neu 15,6 Prozent.<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 14,7 Prozent der Stimmen. Das bedeutet eine Veränderung von -3,4 Prozentpunkte gegenüber 2019. ","SVP"
67,"Rafz ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Rafz. Ihre Parteistärke beträgt 36,5 Prozent (-1,1 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 20,2 Prozentpunkte. Die <b>Grünen</b> holen  16,3 Prozent (-2,9 Prozentpunkte).<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die dritte Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 12,1 Prozent, was einer Zunahme von +5,2 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
68,"Rorbas ZH","Nach wie vor sind die <b>Grünen</b> in Rorbas unangefochten die grösste Partei, mit einem Wähleranteil von 38,7 Prozent (-0,8 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, der <b>Grünen</b>, ist beträchtlich, nämlich 21,5 Prozentpunkte. Die <b>Grünen</b> erreichen einen Wähleranteil 17,2 Prozent (-3 Prozentpunkte). <br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die dritte Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 10,8 Prozent, was einer Zunahme von +5,8 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
69,"Wallisellen ZH","In Wallisellen bleiben die <b>Grünen</b> die stimmenstärkste Partei. Die Partei holte 30,3 Prozent aller Stimmen (-4,7 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 16,6 Prozent (-2,2 Prozentpunkte) sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Mit einem Wähleranteil von 15,1 Prozent belegen die <b>Grünen</b> den dritten Platz (Veränderung gegenüber 2019: -4,5 Prozentpunkte).","SVP"
70,"Wasterkingen ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Wasterkingen. Ihre Parteistärke beträgt 46,8 Prozent (-5,8 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 35 Prozentpunkte. Die <b>Grünen</b> holen  11,8 Prozent (+6,3 Prozentpunkte).<br><br>Den dritten Platz in Wasterkingen teilen sich zwei Parteien: Die <b>Grünen</b> und die <b>Grünen</b> sind genau gleich stark. Mit je 10,7 Prozent kommen beide Parteien auf den gleichen Wähleranteil.","SVP"
71,"Wil ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Wil ZH. Ihre Parteistärke beträgt 43,7 Prozent (-0,3 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 30,2 Prozentpunkte. Die <b>Grünen</b> holen  13,6 Prozent (+1,1 Prozentpunkte).<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von 11,2 Prozent (Veränderung gegenüber 2019: -1,6 Prozentpunkte).","SVP"
72,"Winkel ZH","In Winkel behält  Grüne ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 38,9 Prozent gesichert (-6 Prozentpunkte).<br><br>In der Gemeinde landen die <b>Grünen</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 21,6 Prozent (+1,2 Prozentpunkte). <br><br>Mit einem deutlichen Anstieg von +5,4 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei zwölf Prozent.","SVP"
81,"Bachs ZH","Die <b>Grünen</b> sind in Bachs unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +9 Prozentpunkte deutlich und weist neu einen Wähleranteil von 14,5 Prozent auf.<br><br>Die <b>Grünen</b> landen mit 9,2 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -3,2 Prozentpunkte).","SVP"
82,"Boppelsen ZH","In Boppelsen sind die <b>Grünen</b> weiterhin mit deutlichem Abstand die grösste Partei. Die Partei holt 38,1 Prozent der Stimmen, 23,1 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Der dritte Platz geht and die <b>Grünen</b>. Die Partei erreicht 13,9 Prozent der Stimmen (Veränderung von -2,8 Prozentpunkten gegenüber 2019).","SVP"
83,"Buchs ZH","In Buchs ZH bleiben die <b>Grünen</b> die stimmenstärkste Partei. Die Partei holte 43 Prozent aller Stimmen (-4,4 Prozentpunkte).<br><br>Den zweiten Platz in Buchs ZH teilen sich zwei Parteien: Die <b>Grünen</b> und die <b>Grünen</b> sind genau gleich stark. Mit je 12,1 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>","SVP"
84,"Dällikon ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Dällikon. Ihre Parteistärke beträgt 46,9 Prozent (-1,3 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 34,6 Prozentpunkte. Die <b>Grünen</b> holen  12,4 Prozent (+3,6 Prozentpunkte).<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von 10,7 Prozent (Veränderung gegenüber 2019: -3,3 Prozentpunkte).","SVP"
85,"Dänikon ZH","In Dänikon sind die <b>Grünen</b> weiterhin mit deutlichem Abstand die grösste Partei. Die Partei holt 41,2 Prozent der Stimmen, 23,9 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Der dritte Platz geht and die <b>Grünen</b>. Die Partei erreicht 12,4 Prozent der Stimmen (Veränderung von +1,5 Prozentpunkten gegenüber 2019).","SVP"
86,"Dielsdorf ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Dielsdorf. Ihre Parteistärke beträgt 37,3 Prozent (-4 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 22,2 Prozentpunkte. Die <b>Grünen</b> holen  15,1 Prozent (-2,3 Prozentpunkte).<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 12,4 Prozent der Stimmen. Das bedeutet eine Veränderung von -0,4 Prozentpunkte gegenüber 2019. ","SVP"
87,"Hüttikon ZH","Kein Weg führt in Hüttikon an den <b>Grünen</b> vorbei. Die Partei holte mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Die <b>Grünen</b> sind die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 13 Prozent (-3,8 Prozentpunkte).<br><br>Mit einem deutlichen Anstieg von +7,6 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 12,1 Prozent.","SVP"
88,"Neerach ZH","Mit grossem Abstand verteidigen die <b>Grünen</b> ihre Position als grösste Partei in Neerach bei, mit einem Wähleranteil von 49,1 Prozent (-2,2 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>Grünen</b>, beträgt 35,2 Prozentpunkte. Grüne erhält 14 Prozent der Stimmen (-1,9 Prozentpunkte).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von elf Prozent. Das sind +5,3 Prozentpunkte mehr als im Vergleich bei den letzten Wahlen.","SVP"
89,"Niederglatt ZH","Mit grossem Abstand verteidigen die <b>Grünen</b> ihre Position als grösste Partei in Niederglatt bei, mit einem Wähleranteil von 47,8 Prozent (-0,8 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>Grünen</b>, beträgt 35 Prozentpunkte. Grüne erhält 12,7 Prozent der Stimmen (+0,3 Prozentpunkte).<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von 11,9 Prozent (Veränderung gegenüber 2019: -2,5 Prozentpunkte).","SVP"
90,"Niederhasli ZH","Nach wie vor sind die <b>Grünen</b> in Niederhasli unangefochten die grösste Partei, mit einem Wähleranteil von 42,5 Prozent (-4,8 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, der <b>Grünen</b>, ist beträchtlich, nämlich 29,4 Prozentpunkte. Die <b>Grünen</b> erreichen einen Wähleranteil 13,1 Prozent (-3,7 Prozentpunkte). <br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 12,2 Prozent. Das sind +5,8 Prozentpunkte mehr als im Vergleich bei den letzten Wahlen.","SVP"
91,"Niederweningen ZH","In Niederweningen behält  Grüne ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 32,2 Prozent gesichert (-2,3 Prozentpunkte).<br><br>Die <b>Grünen</b> steigern sich mit einem Plus von +7 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil d beträgt neu 14,5 Prozent.<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 12,9 Prozent. Das sind +5,6 Prozentpunkte mehr als im Vergleich bei den letzten Wahlen.","SVP"
92,"Oberglatt ZH","In Oberglatt bleiben die <b>Grünen</b> unangefochten die stärkste Partei. Die Partei vereinigte bei den Nationalratswahlen 41,4 Prozent der Stimmen (-3,6 Prozentpunkte) auf sich, 26,2 Prozentpunkte mehr als die zweitplatzierten <b>Grünen</b> (15,2 Prozent, -1,4 Prozentpunkte).<br><br>Mit einem Wähleranteil von 10,9 Prozent belegen die <b>Grünen</b> den dritten Platz (Veränderung gegenüber 2019: -1,3 Prozentpunkte).","SVP"
93,"Oberweningen ZH","In Oberweningen sind die <b>Grünen</b> weiterhin mit deutlichem Abstand die grösste Partei. Die Partei holt 41,5 Prozent der Stimmen, 29,1 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 11,9 Prozent der Stimmen. Das bedeutet eine Veränderung von -1,7 Prozentpunkte gegenüber 2019. ","SVP"
94,"Otelfingen ZH","Keine Änderung an der Spitze in Otelfingen: Die <b>Grünen</b> holen  wie vor vier Jahren die meisten Stimmen (37,1 Prozent, -4 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +11 Prozentpunkte sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 21,1 Prozent.<br><br>Den dritten Platz belegen die <b>Grünen</b>. Die Partei erzielt einen Wähleranteil von 11,6 Prozent. (Veränderung gegenüber 2019: -3,4 Prozentpunkte)<br><br>Besonders ist: Die <b>GLP</b> erreicht in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).<br><br>In der Gemeinde Otelfingen wohnt auch eine Nationalrätin: <b>Barbara Schaffner (<b>GLP</b>)</b>.","SVP"
95,"Regensberg ZH","Die Spitzenplätze in Regensberg bleiben gleich: Unverändert belegen die <b>Grünen</b>, die <b>Grünen</b> und die <b>Grünen</b> die ersten drei Plätze. Sie holen 31,7 Prozent (-1,9 Prozentpunkte), 15,7 Prozent (-3 Prozentpunkte) respektive 14,6 Prozent (-0,2 Prozentpunkte) der Stimmen.<br><br>","SVP"
96,"Regensdorf ZH","In Regensdorf sind die <b>Grünen</b> weiterhin mit deutlichem Abstand die grösste Partei. Die Partei holt 43,6 Prozent der Stimmen, 29,4 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Mit einem deutlichen Anstieg von +5,2 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 10,9 Prozent.","SVP"
97,"Rümlang ZH","In Rümlang sind die <b>Grünen</b> weiterhin mit deutlichem Abstand die grösste Partei. Die Partei holt 41,6 Prozent der Stimmen, 21,9 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 9,9 Prozent der Stimmen. Das bedeutet eine Veränderung von +4,7 Prozentpunkte gegenüber 2019. ","SVP"
98,"Schleinikon ZH","In Schleinikon bleiben die <b>Grünen</b> unangefochten die stärkste Partei. Die Partei vereinigte bei den Nationalratswahlen 43,5 Prozent der Stimmen (-0,6 Prozentpunkte) auf sich, 29,9 Prozentpunkte mehr als die zweitplatzierten <b>Grünen</b> (13,6 Prozent, +7,4 Prozentpunkte).<br><br>Den dritten Platz belegen die <b>Grünen</b>. Die Partei erzielt einen Wähleranteil von 10,7 Prozent. (Veränderung gegenüber 2019: +2 Prozentpunkte)","SVP"
99,"Schöfflisdorf ZH","In Schöfflisdorf sind die <b>Grünen</b> weiterhin mit deutlichem Abstand die grösste Partei. Die Partei holt 39,5 Prozent der Stimmen, 26 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von 13,2 Prozent (Veränderung gegenüber 2019: +1,1 Prozentpunkte).","SVP"
100,"Stadel ZH","Kein Weg führt in Stadel an den <b>Grünen</b> vorbei. Die Partei holte mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Die <b>Grünen</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 10,4 Prozent (-1,9 Prozentpunkte).<br><br>Mit einem deutlichen Anstieg von +5,7 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 10,2 Prozent.<br><br>In der Gemeinde Stadel wohnt auch ein Nationalrat: <b>Raphaël Hersberger (<b>EDU</b>)</b>.","SVP"
101,"Steinmaur ZH","In Steinmaur bleiben die <b>Grünen</b> die stimmenstärkste Partei. Die Partei holte 38,7 Prozent aller Stimmen (-3,1 Prozentpunkte).<br><br>Den zweiten Platz in Steinmaur teilen sich zwei Parteien: Die <b>Grünen</b> und die <b>Grünen</b> sind genau gleich stark. Mit je 11,5 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>","SVP"
102,"Weiach ZH","Die Spitzenplätze in Weiach bleiben gleich: Unverändert belegen die <b>Grünen</b>, die <b>Grünen</b> und die <b>Grünen</b> die ersten drei Plätze. Sie holen 55,6 Prozent (-1,1 Prozentpunkte), zehn Prozent (-2,6 Prozentpunkte) respektive 9,5 Prozent (+1,3 Prozentpunkte) der Stimmen.<br><br>","SVP"
111,"Bäretswil ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Bäretswil. Ihre Parteistärke beträgt 42,7 Prozent (-0,6 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 31,4 Prozentpunkte. Die <b>Grünen</b> holen  11,3 Prozent (-1 Prozentpunkte).<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von zehn Prozent (Veränderung gegenüber 2019: +5 Prozentpunkte).","SVP"
112,"Bubikon ZH","Grüne behauptet ihre Position als vorherrschende Partei in Bubikon. Die Partei verzeichnet einen Wähleranteil von 31,6 Prozent (-4,6 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +5,2 Prozentpunkte sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 13,9 Prozent.<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die dritte Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 12,4 Prozent, was einer Zunahme von +6,4 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
113,"Dürnten ZH","Mit grossem Abstand verteidigen die <b>Grünen</b> ihre Position als grösste Partei in Dürnten bei, mit einem Wähleranteil von 36,4 Prozent (-2 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>Grünen</b>, beträgt 24,9 Prozentpunkte. Grüne erhält 11,5 Prozent der Stimmen (+4,2 Prozentpunkte).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 11,4 Prozent. Das sind +6,4 Prozentpunkte mehr als im Vergleich bei den letzten Wahlen.","SVP"
114,"Fischenthal ZH","Kein Weg führt in Fischenthal an den <b>Grünen</b> vorbei. Die Partei holte mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Die <b>Grünen</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 9,4 Prozent (+4,3 Prozentpunkte).<br><br>Die <b>Grünen</b> landen mit neun Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -3,5 Prozentpunkte).","SVP"
115,"Gossau ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Gossau ZH. Ihre Parteistärke beträgt 36,1 Prozent (-2,6 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 21,9 Prozentpunkte. Die <b>Grünen</b> holen  14,3 Prozent (-0,5 Prozentpunkte).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 11,2 Prozent. Das sind +5,1 Prozentpunkte mehr als im Vergleich bei den letzten Wahlen.","SVP"
116,"Grüningen ZH","Mit grossem Abstand verteidigen die <b>Grünen</b> ihre Position als grösste Partei in Grüningen bei, mit einem Wähleranteil von 36,5 Prozent (-6,7 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>Grünen</b>, beträgt 23,1 Prozentpunkte. Grüne erhält 13,4 Prozent der Stimmen (+0,4 Prozentpunkte).<br><br>Den dritten Platz in Grüningen teilen sich zwei Parteien: Die <b>Grünen</b> und die <b>Grünen</b> sind genau gleich stark. Mit je 11,5 Prozent kommen beide Parteien auf den gleichen Wähleranteil.","SVP"
117,"Hinwil ZH","Mit deutlichem Abstand bleiben die <b>Grünen</b> die grösste Partei in Hinwil. Ihre Parteistärke beträgt 42 Prozent (-1,9 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>Grünen</b>, ist gross: 30,6 Prozentpunkte. Die <b>Grünen</b> holen  11,4 Prozent (-0,4 Prozentpunkte).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 10,8 Prozent. Das sind +5,7 Prozentpunkte mehr als im Vergleich bei den letzten Wahlen.<br><br>In der Gemeinde Hinwil wohnt auch eine Nationalrätin: <b>Marionna Schlatter (Grüne)</b>.","SVP"
118,"Rüti ZH","Die <b>Grünen</b> können ihre Position als dominierende politische Kraft in Rüti ZH beibehalten, mit einem Wähleranteil von 30,1 Prozent (-1,4 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 13,4 Prozent (-3,9 Prozentpunkte) sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Mit einem deutlichen Anstieg von +6,9 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 12,6 Prozent.","SVP"
119,"Seegräben ZH","In Seegräben behält  Grüne ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 34,4 Prozent gesichert (+0,9 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +8,8 Prozentpunkte deutlich und weist neu einen Wähleranteil von 15,9 Prozent auf.<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 13,2 Prozent der Stimmen. Das bedeutet eine Veränderung von -3,8 Prozentpunkte gegenüber 2019. ","SVP"
120,"Wald ZH","Mit grossem Abstand verteidigen die <b>Grünen</b> ihre Position als grösste Partei in Wald ZH bei, mit einem Wähleranteil von 35,7 Prozent (-2,6 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>Grünen</b>, beträgt 21,3 Prozentpunkte. Grüne erhält 14,4 Prozent der Stimmen (+5,5 Prozentpunkte).<br><br>Die <b>Grünen</b> müssen sich sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 13 Prozent der Stimmen und damit -5,2 Prozentpunkte weniger als vor vier Jahren.","SVP"
